New_ID,Life satisfaction,Neighborhood satisfaction,Similarity to friends,Years in Somerville,Marital status,Social community events availability,Annual household income,Housing satisfaction,Age,Gender,year,Living with children under 18,Student status
93,8.0,10.0,6.0,2.0,Married,4.013248542660308,131999.4,7.594181275643416,39.5,Female,2011,0,0
94,9.0,8.0,5.0,25.0,Single,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Male,2011,0,0
95,7.0,7.0,8.0,13.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,39.5,Male,2011,0,1
96,7.0,5.0,10.0,25.0,Single,4.013248542660308,12000.0,7.594181275643416,69.5,Female,2011,0,0
97,10.0,10.0,8.0,25.0,Single,4.013248542660308,12000.0,7.594181275643416,59.5,Female,2011,0,0
98,10.0,10.0,9.0,25.0,Widowed,4.013248542660308,59999.399999999994,7.594181275643416,80.0,Female,2011,0,0
99,8.0,7.0,9.0,25.0,Single,4.013248542660308,35999.4,7.594181275643416,21.0,Female,2011,1,1
100,6.0,7.0,8.0,0.5,Single,4.013248542660308,12000.0,7.594181275643416,29.5,Male,2011,0,1
101,7.0,3.0,1.0,5.5,Single,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Female,2011,1,0
102,9.0,10.0,10.0,25.0,Divorced,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,1,1
103,3.0,4.0,4.0,5.5,Single,4.013248542660308,12000.0,7.594181275643416,21.0,Female,2011,0,1
104,8.0,5.0,9.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
105,8.0,8.0,10.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Female,2011,1,0
106,8.0,9.0,4.0,13.0,Married,4.013248542660308,131999.4,7.594181275643416,39.5,Female,2011,1,0
107,5.0,8.0,7.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,69.5,Female,2011,0,0
108,10.0,6.0,7.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Male,2011,0,0
109,7.0,7.0,7.0,25.0,Divorced,4.013248542660308,35999.4,7.594181275643416,69.5,Female,2011,0,0
110,5.0,8.0,5.0,25.0,Married,4.013248542660308,107999.4,7.594181275643416,59.5,Female,2011,1,1
111,8.0,4.0,10.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,0
112,8.0,9.0,8.0,25.0,Divorced,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Female,2011,0,1
113,10.0,1.0,6.687547980961154,25.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,43.23844859998021,Female,2011,0,0
114,9.0,5.0,2.0,5.5,Single,4.013248542660308,155999.4,7.594181275643416,39.5,Female,2011,0,1
115,4.0,3.0,2.0,13.0,Divorced,4.013248542660308,12000.0,7.594181275643416,59.5,Male,2011,0,0
116,8.0,5.0,8.0,11.6967409537503,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,0
